table,column,data_type,is_nullable,total_rows,null_count,null_pct,default_value
account_deletion_log,id,uuid,NO,2,0,0.0,"gen_random_uuid()"
account_deletion_log,deleted_user_id,uuid,NO,2,0,0.0,""
account_deletion_log,deleted_at,timestamp with time zone,NO,2,0,0.0,"now()"
account_deletion_log,request_id,text,YES,2,0,0.0,""
account_deletion_log,razorpay_cancel_status,text,YES,2,0,0.0,""
account_deletion_log,storage_purge_status,jsonb,YES,2,0,0.0,""
ai_coach_interactions,id,uuid,NO,27,0,0.0,"gen_random_uuid()"
ai_coach_interactions,user_id,uuid,NO,27,0,0.0,""
ai_coach_interactions,snapshot_id,uuid,YES,27,21,77.8,""
ai_coach_interactions,channel,text,YES,27,0,0.0,"'app'::text"
ai_coach_interactions,user_message,text,NO,27,0,0.0,""
ai_coach_interactions,ai_response,text,YES,27,0,0.0,""
ai_coach_interactions,model_used,text,YES,27,0,0.0,""
ai_coach_interactions,tokens_used,integer,YES,27,17,63.0,""
ai_coach_interactions,was_helpful,boolean,YES,27,27,100.0,""
ai_coach_interactions,created_at,timestamp with time zone,YES,27,0,0.0,"now()"
ai_coach_interactions,summarized,boolean,YES,27,0,0.0,"false"
ai_coach_interactions,tool_calls,jsonb,YES,27,26,96.3,""
client_errors,id,uuid,NO,739,0,0.0,"gen_random_uuid()"
client_errors,user_id,uuid,NO,739,0,0.0,""
client_errors,error_code,text,NO,739,0,0.0,""
client_errors,error_message,text,YES,739,0,0.0,""
client_errors,op_type,text,YES,739,0,0.0,""
client_errors,retry_count,integer,YES,739,0,0.0,"0"
client_errors,client_version,text,NO,739,0,0.0,""
client_errors,platform,text,NO,739,0,0.0,""
client_errors,created_at,timestamp with time zone,YES,739,0,0.0,"now()"
coach_memory,user_id,uuid,NO,4,0,0.0,""
coach_memory,preferred_name,text,YES,4,3,75.0,""
coach_memory,communication_style,text,YES,4,2,50.0,""
coach_memory,humor_tolerance,text,YES,4,4,100.0,""
coach_memory,depth_preference,text,YES,4,3,75.0,""
coach_memory,motivation_style,text,YES,4,4,100.0,""
coach_memory,injuries,jsonb,YES,4,0,0.0,"'[]'::jsonb"
coach_memory,food_preferences,jsonb,YES,4,0,0.0,"'{}'::jsonb"
coach_memory,equipment_notes,text,YES,4,4,100.0,""
coach_memory,excuse_patterns,jsonb,YES,4,0,0.0,"'[]'::jsonb"
coach_memory,lifestyle,jsonb,YES,4,0,0.0,"'{}'::jsonb"
coach_memory,supplement_stack,jsonb,YES,4,0,0.0,"'[]'::jsonb"
coach_memory,peak_activity_hour,integer,YES,4,4,100.0,""
coach_memory,weak_day,text,YES,4,4,100.0,""
coach_memory,cheat_day_pattern,text,YES,4,4,100.0,""
coach_memory,dropout_risk_score,real,YES,4,0,0.0,""
coach_memory,plateau_risk_score,real,YES,4,0,0.0,""
coach_memory,pro_upgrade_probability,real,YES,4,0,0.0,""
coach_memory,signals_computed_at,timestamp with time zone,YES,4,0,0.0,""
coach_memory,last_proactive_type,text,YES,4,0,0.0,""
coach_memory,last_extraction_at,timestamp with time zone,YES,4,2,50.0,""
coach_memory,consent_version,text,YES,4,0,0.0,"'v1'::text"
coach_memory,private_mode,boolean,NO,4,0,0.0,"false"
coach_memory,coach_notes,text,YES,4,4,100.0,""
coach_memory,updated_at,timestamp with time zone,NO,4,0,0.0,"now()"
coach_memory,committed_at,timestamp with time zone,YES,4,4,100.0,""
coach_memory,committed_to_lt_cdr,boolean,YES,4,0,0.0,"false"
coach_memory,induction_completed_at,timestamp with time zone,YES,4,4,100.0,""
